author,published_at,updated_at,like_count,text
@ug0053,2023-12-28T06:27:10Z,2023-12-28T06:28:19Z,0,"Ik a lot of ppl do not like clb and say it’s bad but personally I notice that a lot of 16-18 year olds like it, at least from what I seen, im 16 and all my friends fw clb heavy with songs like, champagne poetry,fair trade, n 2 deep,tsu, no friends in the industry,fucking fans, get along better, yebbas heartbreak, knife talk ofc, pipe down, girls want girls, in the Bible, race my mind,imy2, way 2 sexy(yes I know 😭)and fountains. maybe it just appealed to more of that age demographic, to people like us we will probably see this album as a classic listening to songs like n 2 deep singing out loud together or playing basketball to knife talk. Although my top 2 is thank me later then take care. It’s really interesting how everybody perceived the album but hey I guess that’s how it goes with long running artists and older fans. I would give the album a 8.5 tbh but to each their own 🤷‍♂️"
@RXCI,2023-12-20T00:32:56Z,2023-12-20T00:32:56Z,0,It would be a 10 if it were called &quot;Certified To Pimp a Butterfly&quot;
@jamesbursey9462,2023-11-21T22:10:53Z,2023-11-21T22:10:53Z,1,Views was good
@k9damn118,2023-11-16T22:41:40Z,2023-11-16T22:41:40Z,2,Бро ты похож на пришелеца
@ayjohnnyboy1995,2023-10-27T07:02:27Z,2023-10-27T07:02:27Z,2,This isn&#39;t even a review. This is a confrontation of Drake&#39;s manhood😆
@michael-pg8fi,2023-10-15T15:27:17Z,2023-10-15T15:27:17Z,2,🗑️
@abuwadie3,2023-10-14T22:49:42Z,2023-10-14T22:49:42Z,0,Be warned This guy likes introspective hip hop...only. He&#39;s viewing drake through a misplaced lens.
@magmasa7499,2023-09-22T13:41:16Z,2023-09-22T13:41:16Z,0,Damn I hate &quot;Way 2 sexy&quot;
@sasauaganghi,2023-09-09T12:03:41Z,2023-09-09T12:03:41Z,3,bad review<br>to pimp a lover boy is a 11 u dumass <br>im gonna subscribe
@hubhikarilives,2023-09-07T23:28:41Z,2023-09-07T23:28:41Z,1,Melon did NOT just call Views a snooze fest. The disrespect
@brendan594,2023-09-03T20:07:45Z,2023-09-03T20:07:45Z,2,"this is a very fair review imo, but i love N 2 Deep ngl"
@noble6441,2023-08-30T12:19:38Z,2023-08-30T12:19:37Z,6,This album is for tik tok cringe kids
@aidaneee5916,2023-08-29T10:17:46Z,2023-08-29T10:17:46Z,2,DIS ALBUM SOO GOOOD YALL TRIPPIN AFFFFFF AAHHH
@aliyounas1667,2023-08-20T00:19:22Z,2023-08-20T00:19:22Z,2,the agenda this guy has against drake is insane
@Number3madvillainyenjoyer_,2023-07-23T19:26:56Z,2023-07-23T19:26:56Z,2,I like you only live twice from this album. But that’s only because Rick Ross and lil Wayne carried it
@cdfactory,2023-07-22T17:45:46Z,2023-07-22T17:45:46Z,13,🤰🏽🤰🏻🤰🏾🤰🏻<br><br>🤰🏿🤰🏽🤰🏽🤰🏼<br><br>🤰🏾🤰🏾🤰🏽🤰🏿
@Lucasts82,2023-07-13T20:25:56Z,2023-07-13T20:25:56Z,10,Fantano you are a straight nerd. Maybe if you tried to have fun listening to these songs and not being a weirdo you would be happy in your life.
@Lucasts82,2023-07-13T20:16:33Z,2023-07-13T20:16:33Z,0,You a nerd
@Lucasts82,2023-07-13T20:14:13Z,2023-07-13T20:14:13Z,8,CLB is easily an 8 maybe 9 yall just some nerds
@dawsonsouza8833,2023-07-11T03:50:44Z,2023-07-11T03:50:44Z,14,It would be 10/10 if it was called “ To Pimp a Lover Boy “
@gupmali,2023-06-25T19:52:21Z,2023-06-25T19:52:21Z,4,Correctly assessed
@ch3rry600,2023-06-14T02:06:06Z,2023-06-14T02:06:06Z,0,"This album is terrible, in my opinion, but if anyone else likes it then I won’t judge."
@nicholashayek5495,2023-06-09T05:55:19Z,2023-06-09T05:55:19Z,1,"I’m a little sad he didn’t touch on Yebba’s contributions, she was top notch"
@trapmantv.nocopyrightmusic593,2023-06-06T19:05:25Z,2023-06-06T19:05:25Z,7,"This was not an album review, this was Drake’s assassination with no remorse 😅"
@nastyasfrick,2023-06-03T19:13:12Z,2023-06-03T19:13:30Z,0,"I love the cover art for this album, you should look up the guy who made it. You’ll definitely get some kicks out of it"
@marwoodmckenzie3000,2023-05-31T11:35:20Z,2023-05-31T11:35:20Z,0,Loudthony sightano
@Tisbilly,2023-05-30T19:33:24Z,2023-05-30T19:33:24Z,3,Bro the album cover is so tacky 😭😭😭
@Beef....,2023-05-27T05:13:52Z,2023-05-27T05:13:52Z,4,Drake - Certified Boy Lover
@woolsockse.c5357,2023-05-24T20:45:17Z,2023-05-24T20:45:17Z,1,certified boy lover
@andrei11dr,2023-04-24T17:17:34Z,2023-04-24T17:17:34Z,1,This album is as long as Lift Your Skinny Fists....let that shit sink in!
