author,published_at,updated_at,like_count,text
@joeMW284,2024-03-31T18:14:49Z,2024-03-31T18:14:49Z,2,Late to the party but... a zero? C&#39;mon now. This album destroys Angelic 2 the Core.. You threw Miley Cyrus and Her Dead Petz a bone and gave that trash a 1.. that&#39;s WAY worse than this. This album at least has some genuine emotion poured into it. I dig a handful of tracks on it.
@chaselove8708,2024-03-17T01:33:20Z,2024-03-17T01:33:20Z,5,I use to hate the album... But now I love it!!
@unknownarc,2024-03-03T15:24:11Z,2024-03-03T15:24:11Z,9,maturing is realising Fantano was wrong.
@jhndxtr9249,2024-02-20T08:46:15Z,2024-02-20T08:46:15Z,3,This album is a classic
@lincolnchaza9727,2024-01-21T19:01:19Z,2024-01-21T19:01:19Z,3,I like all Kid Cudi Albums they have this raw element of creative energy
@dr.aisaitl7439,2024-01-21T13:06:41Z,2024-01-21T13:07:48Z,6,"I&#39;m not saying Fantano was wrong to see this as a bad album or criticise the music. I think it&#39;s bad. But it was wack as fuck of him to personally attack Kid Cudi for his state of mind and drug addiction. He even recognized that many of Cudi&#39;s lyrics were extremely depressed and suicidal. For Anthony to not infer that Cudi was really struggling at the very least is really irresponsible, and calling an artistic work of him putting his suicidal thoughts on his sleeve as boring pretentious garbage seems in poor taste"
@melvification,2024-01-18T05:42:17Z,2024-01-18T05:42:17Z,2,MELTING is a banger tho
@billysobolik,2024-01-11T00:42:52Z,2024-01-11T00:42:52Z,1,I can kinda groove to the first minute of &quot;Confused&quot; if I don&#39;t pay attention to the lyrics. That&#39;s just about the nicest thing I can say about this album.
@808sandheartbreaklover24,2023-12-28T20:20:19Z,2023-12-28T20:20:19Z,0,should I listen to this
@brazydondada,2023-12-28T13:00:25Z,2023-12-28T13:00:25Z,1,This is fantanos biggest video lol KING 👑 CUDI
@daved6536,2023-12-24T00:56:50Z,2023-12-24T00:56:50Z,2,CONFUSED! is ok though. honestly kinda good
@Eloweh,2023-12-19T17:19:03Z,2023-12-19T17:19:03Z,1,I feel like this album just needs to be listened to in a certain mood. You need to relate to be a huge fan of Cudi
@Blaza303,2023-11-29T17:58:40Z,2023-11-29T17:58:40Z,0,I predict Melon will retire from youtube 10 years from now
@mysteries_117,2023-11-13T17:05:33Z,2023-11-13T17:05:33Z,2,I thought the album was fine
