author,published_at,updated_at,like_count,text
@Justachamp772,2024-02-20T20:45:55Z,2024-02-20T20:45:55Z,1,10 months later and this is a classic
@christianbrown9029,2024-02-10T15:21:39Z,2024-02-10T15:21:39Z,1,My favorite part of the name is that Danny Brown brought chose Scarin the Hoes after seeing a tik tok joking that their album should be called Scarin the Hoes
@mysteries_117,2024-02-09T08:46:37Z,2024-02-09T08:46:37Z,0,Now we know scared the hoes
@HairyNun,2024-02-07T11:14:42Z,2024-02-07T11:14:42Z,1,"I loved it at first but i think it&#39;s a high 7 for me in retrospect. I love the approach, but with that it feels like every song is trying to send the same message as the title.<br><br>Its impressive but its a bit like the hiphop equivalent of getting an album full of TOOL&#39;s weirder cuts. Great listen, but I&#39;d be more impressed to hear some tracks that push the envelope and define a new sound for the genre AND being catchy with the longevity that brings, not a collection of short lived &quot;wow&quot; moments."
@JmoneyLad72,2024-01-28T13:02:32Z,2024-01-28T13:02:32Z,4,after 30 years of loving this album I finally got bored of it
@jefcoble8827,2024-01-26T03:06:00Z,2024-01-26T03:06:00Z,3,I cant be the only one that thinks these songs sound like constant noise and racket as opposed to actual catchy music
@arthurarellanesiii4297,2024-01-25T08:11:33Z,2024-01-25T08:11:33Z,0,Sound like rthey definitely got style from everyone from Master&#39;s of the universe. Rad
@zatty232,2024-01-24T15:24:58Z,2024-01-24T15:24:58Z,1,God i hope they work together in the future again.
@lukeypukey6119,2024-01-24T04:25:43Z,2024-01-24T04:25:43Z,0,Played this at the pregame and there were only 7 guys there. Crazy how the album really did scare the hoes! 10/10
@demarcuswilliams548,2024-01-19T00:39:20Z,2024-01-19T00:39:20Z,0,jpegmafia is a cool artist but horrible person
@techboy2002,2024-01-17T20:44:30Z,2024-01-17T20:44:30Z,2,I’m tripping on 2cb rn and I swear ur hair follicles are bugging me the fuck out bro.
@basil_gamin,2024-01-11T19:12:44Z,2024-01-11T19:12:44Z,0,I just noticed csh in the background
@brandonleeweihan,2024-01-07T18:47:18Z,2024-01-07T18:47:18Z,0,Fantano pulled off that mask like velcro
@mikaelmilnikov,2024-01-02T19:38:55Z,2024-01-02T19:38:55Z,3,The album XXX is actually a studio album and not a mixtape
@SecondCitySavior6969,2023-12-31T12:53:30Z,2023-12-31T12:53:30Z,0,"They perfected the art of musical shitpost, Oliver Tree could never"
@fabearodge1121,2023-12-30T21:11:59Z,2023-12-30T21:11:59Z,0,When I try listening to this I really don&#39;t like it too much I&#39;ve only listened to some of it. Is there something. I&#39;m missing I want to know.
@ttobarrosshow,2023-12-30T17:07:18Z,2023-12-30T17:07:18Z,3,That clapping... those were not hands
@BLUEPELICAN234,2023-12-30T09:46:37Z,2023-12-30T09:46:37Z,1,Most overrated album ever <br><br>It’s just loud nonsense.
@Sire_Kiwi,2023-12-26T01:06:06Z,2023-12-26T01:06:06Z,0,as probably the worlds newest canibus fan seeing the melon mention him was the most exciting moment of the day
@775.-,2023-12-24T07:05:43Z,2023-12-24T07:05:43Z,1,"So you gave peggy mafia light 9 just cause he&#39;s not fat other wise you would&#39;ve gave him fat 9 , now that&#39;s racist"
@Dappis,2023-12-23T18:00:02Z,2023-12-23T18:00:02Z,1,Kingdom Hearts Key legit one of my all time favorite beats
@Hunter-jv1ld,2023-12-22T20:39:27Z,2023-12-22T20:39:27Z,2,2/10
@THE-REAL-MUFFIN-MAN,2023-12-21T20:05:45Z,2023-12-21T20:05:45Z,1,best album of the year
@baronvonbeandip,2023-12-11T21:50:58Z,2023-12-11T21:50:58Z,4,That they were doing this on a 404 is commendable. I fuckin hate that thing because my friends are Dilla worshippers with a background in &#39;lofi hip-hop beats to study to&#39; type shit.
@madeleinep.828,2023-12-06T23:33:21Z,2023-12-06T23:33:21Z,3,Never thought a song called Steppa Pig on an album called Scaring the Hoes would become one of my favorite songs of the year
@Hugh.Jass69,2023-11-27T01:42:09Z,2023-11-27T01:42:09Z,11,shuolda been a 10
@JRBeast-nw3xg,2023-11-21T17:21:41Z,2023-11-21T17:21:41Z,2,One of my favorite albums ever.
@ericthorpe5670,2023-11-21T15:05:19Z,2023-11-21T15:05:19Z,0,I saw this thumbnail and thought there was gonna be a Westside Gunn/Minions crossover. Guess dreams don&#39;t always come true
@Maratje2,2023-11-18T23:27:31Z,2023-11-18T23:27:31Z,1,"MY SCORE: Strong 9 to 10.<br><br>Peggy and Danny are a match made in heaven, and Scaring The Hoes shows it. The title alone is already pretty iconic. Perfect for replaying, and has been playing in my car nonstop since it came out. Might’ve had some weird looks from other drivers but that makes me love it more.<br><br>Least favorite: Jack Harlow Combo Meal (Still a banger though)."
@rapwarz9,2023-11-16T17:24:27Z,2023-11-16T17:24:27Z,2,AOTY🔥🔥🔥🔥
@KoenRH2803,2023-11-08T15:38:45Z,2023-11-08T15:38:45Z,23,Genuinely wondering what made this album not a 10 for melon. The creativity and beats are just electrifying and near perfect imo
@coldnoodllss,2023-10-31T18:56:53Z,2023-10-31T18:56:53Z,2,its like more progressive xiu xiu and less aggressive death grips. perfect way to describe it
@YasinYimam-gu6wm,2023-10-29T22:45:33Z,2023-10-29T22:45:33Z,1,this aulbm is over reted travis scott utopia so much better
@alirezajamshidian7313,2023-10-27T20:59:12Z,2023-10-27T20:59:12Z,0,This album seriously sounds like Brockhampton but it gives you headache when the track is over
@mafroodyahia,2023-10-25T15:03:48Z,2023-10-25T15:03:48Z,3,the greatest produced album this decade so far. also its album of the year
@GMBREACTS,2023-10-25T10:53:45Z,2023-10-25T10:53:45Z,1,Bro that’s a big W he gave them light 9 without hesitation. That means it could really lead to a strong 10 easily. 🤯
@JoeLaFon3,2023-10-23T00:25:35Z,2023-10-23T00:25:35Z,0,It&#39;s not &quot;Triple X&quot; it&#39;s &quot;30&quot;
@Buck_Bentley,2023-10-19T03:50:49Z,2023-10-19T03:50:49Z,3,This album scared me
