author,published_at,updated_at,like_count,text
@jameswilson4328,2022-06-14T15:31:41Z,2022-06-14T15:31:41Z,9,"This album has been my self care for the last 6 months. Been to see Porter&#39;s live show featuring Nurture twice now since April, and its an absolutely positive, feel good, sensation. So grateful to have been re-discovering his music at this time and to be there for the live performances."
@YesThisIsJamesWier,2022-06-02T21:42:25Z,2022-06-02T21:42:25Z,4,This album sounds like frolicking through a grass filled valley in heaven
@skeletr0n_music,2022-05-06T16:58:58Z,2022-05-06T16:58:58Z,4,Completely agree. I literally have zero criticisms about your criticisms.
@catguy2304,2022-04-26T14:14:45Z,2022-04-26T14:14:45Z,0,Burn in hell forever
@JQ3B94,2022-04-26T11:05:42Z,2022-04-26T11:05:42Z,7,This video is part of nurture live now
@ButterGames6,2022-04-11T21:26:31Z,2022-04-11T21:26:31Z,2,"Just came back from his nurture live show, was absolutely amazing!"
@pyker1,2022-03-05T15:53:43Z,2022-03-05T15:53:43Z,0,:
@riley6875,2022-02-25T08:39:44Z,2022-02-25T08:39:44Z,3,"i dont really agree that it has themes rooted in escapism like worlds. worlds was very much making songs out of stories, while the narrative of nurture is focused on porter himself/the struggles hes faced. its one of the reasons i like it so much, its more honest, and the sounds really reflect that. on a different note i wouldnt call nurture feel good and/or blissful. its not really sad either, but i just wouldnt really call it happy."
@kathiasoriano3043,2022-01-30T16:12:08Z,2022-01-30T16:12:08Z,1,What&#39;s the album in the background?
@LOLDEMOS,2022-01-20T07:56:47Z,2022-01-20T07:56:47Z,1,"My god what a jewel, what a masterpiece. To think it got a strong 8 makes me wonder what a strong 9 would be for this guy..."
@AlrexX2,2022-01-05T10:12:18Z,2022-01-05T10:12:18Z,1,"as someone who has discovery in their top 3 albums of all time, i just need to check this out now after that comparison."
@Sandra2445x,2022-01-03T19:43:08Z,2022-01-03T19:43:08Z,3,watched this to hear his opinion on mirror and he didn’t even mention it lmao
@username-1999,2021-12-23T19:14:23Z,2021-12-23T19:14:23Z,5,recently of his album list of 2021 he really gave this album on top of the Top 10s<br><br>this album absolutely grew onto him and it&#39;s easily the best album of the year for sure<br><br>( it really feels like it&#39;s now a 9/10 lol )
@liugaobang,2021-12-21T05:17:57Z,2021-12-21T05:17:57Z,1,"I disagree with many points made in this review. However, you are very attractive and hot. Every time I see your bald head I get shi"
@babeeeshark,2021-12-16T17:29:10Z,2021-12-16T17:29:10Z,0,dude ur entire purpose is parasitic. it’s sad that the society bothers w music reviews. same society that used to take joy in public executions so no news there. u just feeding the beast. porter is as pure and beautiful as they come. wish he didn’t give this rake legitimacy by appearing
@hahaha574,2021-12-13T16:43:54Z,2021-12-13T16:44:13Z,0,This generations &quot;Discovery&quot; is not Nurture in our opinion. Its Charmed by DJ Sabrina The Teenage DJ.
@rahilmalhotra001,2021-12-06T20:29:26Z,2021-12-06T20:29:26Z,6,DULLSCYTHE is not the worst track at all.
@enis1687,2021-12-03T01:48:06Z,2021-12-03T01:48:06Z,4,I’ve listened to this album so many times now and I still can’t believe how good it is
@papakwasiasiedu5280,2021-11-29T00:50:49Z,2021-11-29T00:50:49Z,10,Proceeds to be snubbed by the Grammys
@henrymellor9760,2021-11-25T03:51:28Z,2021-11-25T03:51:28Z,3,dullscythe is my favorite song in the album
@alexhrnndz,2021-11-24T04:37:24Z,2021-11-24T04:37:24Z,3,"Robbed ,man. Robbed"
@brunorodriguez4028,2021-11-10T22:11:36Z,2021-11-10T22:11:36Z,1,You appear in his new Tour visuals Mr. fun moment
@BIGDADDYDELTA12,2021-11-08T06:38:36Z,2021-11-08T06:38:36Z,15,Seeing this video pop up during Porter’s Nurture tour visuals had me in tears. I wish I could see it again.
