author,published_at,updated_at,like_count,text
@joenovotny5441,2022-07-18T23:18:22Z,2022-07-18T23:18:22Z,0,You are so wrong about divine feminism and swimming both albums where amazing he took a leap of faith with the divine feminism and his fans liked and gained alot more fans because of it Kendrick even told Mac while making the divine feminism “this is what you should be doing” and it just was so different idk if you have experienced changed like that I mean mac even said an album is like a life time it start with life and ends in death he always tide that in either with words or melodies from a instrument
@SAZERU,2022-06-26T23:48:42Z,2022-06-26T23:48:42Z,0,L for NEEDLE<br>mfk NEEDE of peoples opinions on his hate then drops a video after dudes dead about how great his music<br>i know youre just a guy an have opinions about music but i will never appreciate the fact you judged this guys discography so harshly until he was fucking dead then you made a post praising his music and crying at it. that just spells fake to me i cant appreciate it<br><br>rest in piece mac and im sorry you were so harshly judged for your time here
@edwardcampanelli8697,2022-06-16T03:41:42Z,2022-06-16T03:41:42Z,2,"while i don&#39;t agree with your hate on swimming and feminine, circles is more cohesive than both"
@TTVArgusGuy,2022-05-11T22:50:13Z,2022-05-11T22:50:13Z,2,Good news is one of my favorite songs ever. Thank you mac.
@th-uh9hj,2022-05-03T13:06:26Z,2022-05-03T13:06:26Z,3,How can macs voice be horrible on swimming yet beautiful on circles? Did him dieing change your opinion or your hearing?
@pottyputter05,2022-04-21T12:50:37Z,2022-04-21T12:50:37Z,0,I&#39;ve loved Jon&#39;s work for decades and was rather surprised to see he was the one that did this and I couldn&#39;t think of anyone better for the tone of this. The emotion he conveys in the scores he&#39;s known for fits well here beyond measure
@Sammyhuman,2022-04-20T17:46:24Z,2022-04-20T17:46:24Z,8,"In my opinion, there is nothing I can criticize about this album. Its just fantastic from start to finish"
@a.j.courier7777,2022-04-09T00:47:12Z,2022-04-09T00:47:27Z,2,Still can’t forgive you for what you said about swimming
@brownfandango,2022-03-26T11:29:48Z,2022-03-26T11:29:48Z,3,Hip-Hop is missing and will miss Mac so much
@rranchhselphie1897,2022-03-25T16:55:43Z,2022-03-25T16:55:43Z,0,If you don&#39;t like somethi.g don&#39;t review you disgusting human Mayne people won&#39;t kill themselves
@rranchhselphie1897,2022-03-25T16:55:14Z,2022-03-25T16:55:14Z,1,You are so fake it&#39;s disgusting  I hope you feel guilty for what you did to swimming
@rranchhselphie1897,2022-03-25T16:51:21Z,2022-03-25T16:51:21Z,1,Back with the rebound so my fans won&#39;t hate me for blindly hating swimming
@31ijxh,2022-03-23T06:58:31Z,2022-03-23T06:58:31Z,1,this and swimming are both 10s
@venturafontek3298,2022-03-18T07:42:46Z,2022-03-18T07:42:46Z,5,"Not sure about why but I keep coming here every now and then, but I do. Maybe I just need to hear some &quot;news&quot; about him. Are you with me?"
@squidyy,2022-03-16T06:43:48Z,2022-03-16T06:43:48Z,2,duality of man
@LuCa-bh4ep,2022-03-11T01:49:07Z,2022-03-11T01:49:07Z,0,one of my personal favs of all time
@bogdankhudoidodov6866,2022-03-08T22:14:33Z,2022-03-08T22:14:33Z,0,8??!
@michael-pg8fi,2022-03-04T19:10:31Z,2022-03-04T19:10:31Z,2,8/10 but gave his prior album a 3. How does that even happen? You gave him this rating simply because he passed away.
@onlyonemufasa,2022-03-03T00:58:29Z,2022-03-03T00:58:29Z,0,Broo do you really listen to the lyrics????
@oak4881,2022-02-01T04:05:31Z,2022-02-01T04:05:31Z,1,That’s right bitch.
@sweeler3216,2022-01-25T21:56:12Z,2022-01-25T21:56:12Z,1,Favorite album or all time
