author,published_at,updated_at,like_count,text
@evanderschwartz8150,2024-02-22T20:30:27Z,2024-02-22T20:30:27Z,0,"I’m not trying to be rude or jump the ‘bandwagon’… but I really don’t think you could be more wrong about this album. I will agree, sure, the complexity of the lyrics isn’t like “there”…. But this isn’t like an Eminem album/song where there’s context, subliminal context, on top of hidden context. Where, like, I’m gonna have to listen to the album/song a good couple times to fully get/understand its FULL meaning. But this album has really smooth flow, interesting and complex beats merged together, plus I think it paints, somewhat, of a picture as to what young/insecure people go through when they start to get popular, as well perhaps what overcritical/depressed people feel when they go through something. But I think EVEN that, looking that deep/critical at the album takes away from it. More so, I think it’s an enjoyable listen, and something that you can just vibe too and feel something. But I definitely think you got this wrong, and I mean… didn’t you literally get famous because some of your videos got famous on FB? I mean, I feel like your whole fame was built off of quirky and corky beats… like nothing serious… so I’m confused as to your overall stance on this, and how you sit at this ‘table’ I guess…"
@romacarths9577,2024-02-20T03:35:30Z,2024-02-20T03:35:30Z,0,"Yikes bro, this album is a masterpiece and you missed all the nuance. Normally a fan but this take is a bad one."
@chiemela98,2024-02-18T16:17:54Z,2024-02-18T16:17:54Z,0,A 5 is crazy this record deserved at least an 8 yeah a lot of the lyrics were cringy the kid is 20 years old come-on
@eaterofthegalaxy4875,2024-02-04T23:53:22Z,2024-02-04T23:53:22Z,0,"After giving the absolutely stupidest albums ever a 10 and bashing some of the greatest albums ever, I’m finally at peace because this video is the absolute final evidence that this guy has NO IDEA what he’s talking about. It still breaks my heart that this complete impostor has such a big platform, so the chance is extremely high that he turned many people off with his reviews, for example making them not even want to listen to masterworks like Hypochondriac, and therefore robbing them of what might have been one of their most beloved discoveries in music. <br><br>If there was a God, Fantano would not have internet connection."
@axante,2024-02-02T15:59:23Z,2024-02-02T15:59:23Z,0,"I agree with fantano to a degree. I think if you can ignore some of the strange lyrics, I think the beats/production and vocal production I think it makes for a satisfying and enjoyable listen....sonically which I think is the main thing whne it comes to finding music you like.<br><br>CBD being his favourite track is typical. the closest thing to a 4 piece band with a lead, not very adventurous, vocal. Fantano bread and butter aka &quot;boring&quot; <br>Decent 6 from me. From more of a face value perspective I&#39;d say light 7"
@cjsdizzy,2024-01-31T13:47:40Z,2024-01-31T13:47:54Z,0,I cant lie this is exactly how i felt when i first listened to the album. I think the production and vocals were good enough to make up for the lyrics for me more than melon tho
@vinisvisionandvisionaryisvin,2024-01-30T21:32:34Z,2024-01-30T21:32:34Z,1,bruh
@imlskr,2024-01-28T22:08:06Z,2024-01-28T22:08:06Z,1,so much disgagreeing but the editing of this review was so funny man easily one of my favourite
@jspacekidd,2024-01-27T20:59:34Z,2024-01-27T20:59:34Z,1,came here after brakence&#39;s jab at fantano in a la carte and jesus christ i havent been this frustrated with this man&#39;s opinion in a very very long time
@dreiwettertaft2877,2024-01-26T23:07:18Z,2024-01-26T23:07:18Z,0,yeah the review for intellectual greed gave away he didn&#39;t care much about the review and already made his mind up. melon you seem to have missed &quot;I wantED&quot; it is past tense my dude. he criticizes his old self for thinking that way and describes how this mindset will only bring you pain. wtf is blud yappin about
@roxyhavard,2024-01-24T12:13:03Z,2024-01-24T12:13:03Z,0,respectfully ur wrong.
@Wintud7djdd8,2024-01-18T15:29:11Z,2024-01-18T15:29:11Z,2,"After a year, Anthony, you really gotta listen back to this one. And actually listen this time"
@hfo9970,2024-01-17T23:27:57Z,2024-01-17T23:27:57Z,0,"<a href=""https://www.youtube.com/watch?v=iirPux8sPGA&amp;t=396"">6:36</a> its a reference to Bladee and his song Nike Just Do It"
@uglydoves,2024-01-15T21:15:58Z,2024-01-15T21:15:58Z,3,this review is basically “i can’t think of anything outside my little box and im not empathetic so these lyrics are bad”
@waterbottlettv,2024-01-12T07:52:02Z,2024-01-12T07:52:02Z,1,"I think he needs to stop listening to albums for the first time live. So many old timers in chat influence the vote, and inevitably that influences his view of it."
@kofireeves-miller547,2024-01-10T16:46:11Z,2024-01-10T16:46:11Z,0,light 5 is crazy
@mvrrko,2024-01-09T07:59:09Z,2024-01-09T07:59:09Z,1,it&#39;s crazy how out of touch this guy is. very glad to have read the comments for this video.
@justinborland3325,2024-01-06T20:40:58Z,2024-01-06T20:40:58Z,0,"I had the opposite problem. I like the sound of the production, but it doesn’t vary enough from song to song to keep me interested. I love sonic cohesion, but this album feels too same-y. By the 4th or 5th song I had to tune out because I didn’t feel like I was hearing anything new enough to keep me listening"
@phonkequinox2602,2023-12-29T21:21:43Z,2023-12-29T21:21:55Z,4,This dudes hilarious misunderstanding of this album while calling himself a music nerd is pretty sad to see. Then again there hasn&#39;t been a single take from Anthony fantano that was good
@fflicks2588,2023-12-27T17:32:03Z,2023-12-27T17:32:03Z,7,You missed the entire narrative/theme of the album completely.
@daquonh4788,2023-12-25T07:56:39Z,2023-12-25T07:56:39Z,2,"Bro i hates this mans reviews. I feel like you always misses the point. This is obviously a album or self reflection, yes some of the lyrics are snobby but thats the point."
@AOpsyche,2023-12-20T23:14:14Z,2023-12-20T23:14:14Z,3,"i know im a lil late here, but ive never seen lyrics go this far over Tony Tano&#39;s head"
@Fadzom,2023-12-20T03:32:32Z,2023-12-20T03:32:32Z,2,"This has almost 200k views and barely over 4k likes, and that&#39;s for a reason, know that"
@Fadzom,2023-12-20T03:00:13Z,2023-12-20T03:00:13Z,1,It&#39;s the fact that he doesn&#39;t understand brakence for me
@kriskorn2130,2023-12-18T03:18:22Z,2023-12-18T03:18:22Z,1,"You do not understand this album at all. He is playing a character. He&#39;s not egotistical, you just clearly do not understand this at all.."
@christopherstory8710,2023-12-10T15:21:02Z,2023-12-10T15:21:02Z,0,"idk why people are tearing this man apart for this. the music is sick as fuck but the lyrics are cringe and brakence&#39;s ego is clearly massive and it&#39;s a turnoff so i get why he rated it the way he did, and I don&#39;t get why people think he misunderstood the songs..."
